"Chord","Key Strokes"
"   O ROOO","i"
"   N ROOO","<UpArrow>"
"   O MOOO","e"
"   N MOOO","1"
"   O LOOO","o"
"   N LOOO","<F1>"
"   O OROO","n"
"   N OROO","<DownArrow>"
"   O RROO","'"
"   N RROO","<PageUp>"
"   O MROO",", "
"   O OMOO","t"
"   N OMOO","2"
"   O RMOO","#"
"   O MMOO","."
"   N MMOO","3"
"   O LMOO","<CapsLock>"
"   O OLOO","r"
"   N OLOO","<F2>"
"   O MLOO","; "
"   O LLOO","-"
"   N LLOO","<F3>"
"   O OORO","a"
"   N OORO","<RightArrow>"
"   O RORO","j"
"   N RORO","<KP+>"
"   O MORO",")"
"   O ORRO","f"
"   N ORRO","<KP->"
"   O RRRO","b"
"   N RRRO","<Home>"
"   O MRRO","]"
"   O OMRO","%"
"   O MMRO","}"
"   O LMRO","*"
"   O OOMO","h"
"   N OOMO","4"
"   O MOMO","l"
"   N MOMO","5"
"   O ORMO","!"
"   O OMMO","d"
"   N OMMO","6"
"   O MMMO","x"
"   N MMMO","7"
"   O LMMO","<Return>"
"   N LMMO","<NumLock>"
"   O OLMO","?"
"   O OOLO","s"
"   N OOLO","<F4>"
"   O ROLO","&"
"   O MOLO","("
"   O LOLO","k"
"   N LOLO","<F5>"
"   O OMLO","_"
"   O MMLO","{"
"   O OLLO","u"
"   N OLLO","<F6>"
"   O MLLO","["
"   O LLLO","y"
"   N LLLO","<F7>"
"   S LMOO","<CapsLock>"
"   S LLOO","_"
"   S LMMO","<CapsLock>"
"   O OOOR","<Backspace>"
"   N OOOR","<LeftArrow>"
"   O ROOR","c"
"   N ROOR","<KP*>"
"   O MOOR","q"
"   O LOOR","\"
"   O OROR","`"
"   N OROR","<KP/>"
"   O RROR","I "
"   N RROR","<KP.>"
"   O OORR",""""
"   N OORR","<PageDown>"
"   O RORR","Z"
"   N RORR","<KP=>"
"   O MORR",">"
"   O ORRR","z"
"   N ORRR","<End>"
"   O RRRR","ing "
"   N RRRR","<KPEnter>"
"   O MRRR"," and "
"   O OOMR","^"
"   O OOOM","<NumLock>"
"   N OOOM","8"
"   O ROOM","<Right Ctrl>c</Right Ctrl>"
"   O MOOM","m"
"   N MOOM","9"
"   O LOOM","<Right Ctrl>b</Right Ctrl>"
"   O OMOM","|"
"   N OMOM","10"
"   O MMOM","="
"   N MMOM","11"
"   O OOMM",": "
"   N OOMM"," "
"   O MOMM","the"
"   N MOMM",","
"   O OMMM","g"
"   N OMMM","<Backspace>"
"   O MMMM","<Tab>"
"   N MMMM","0"
"   O LMMM","tion "
"   O OOOL"," "
"   N OOOL","<F8>"
"   O ROOL","/"
"   O MOOL","p"
"   O LOOL","w"
"   N LOOL","<F9>"
"   O OLOL","~"
"   N OLOL","<F10>"
"   O LLOL","+"
"   O OOML","$"
"   O OOLL","@"
"   N OOLL","<F12>"
"   O MOLL","<"
"   O LOLL","you"
"   N LOLL","<F11>"
"   O OLLL","v"
"   N OLLL","<Insert>"
"   O LLLL","<Escape>"
"   N LLLL","<Delete>"
